Year,State,Population,Violent.1,Murder.1,LegacyRape.1,Robbery.1,Assault.1,Property.1,Burglary.1,Larceny.1,VehicleTheft.1
1960,Alabama,3266740,186.6,12.4,8.6,27.5,138.1,1035.4,355.9,592.1,87.3
1961,Alabama,3302000,168.5,12.9,7.6,19.1,128.9,985.5,339.3,569.4,76.8
1962,Alabama,3358000,157.3,9.4,6.5,22.5,119.0,1067.0,349.1,634.5,83.4
1963,Alabama,3347000,182.7,10.2,5.7,24.7,142.1,1150.9,376.9,683.4,90.6
1964,Alabama,3407000,213.1,9.3,11.7,29.1,163.0,1358.7,466.6,784.1,108.0
1965,Alabama,3462000,199.8,11.4,10.6,28.7,149.1,1392.7,473.7,812.1,106.9
1966,Alabama,3517000,230.3,10.9,9.7,32.0,177.7,1528.0,527.5,869.6,131.0
1967,Alabama,3540000,238.6,11.7,10.5,33.0,183.5,1612.4,571.4,895.0,146.0
1968,Alabama,3566000,232.4,11.8,11.1,41.0,168.5,1766.6,628.2,967.7,170.7
1969,Alabama,3531000,250.4,13.7,14.0,41.0,181.7,1876.2,667.2,1037.8,171.2
1970,Alabama,3444165,295.7,11.7,18.5,50.3,215.2,2183.8,776.4,1184.0,223.5
1971,Alabama,3479000,311.4,15.1,19.0,57.6,219.7,2187.0,791.8,1173.9,221.2
1972,Alabama,3510000,313.2,14.1,18.8,68.6,211.7,2081.3,789.6,1096.7,195.0
1973,Alabama,3539000,350.1,13.2,21.2,79.4,236.3,2232.2,897.3,1107.8,227.2
1974,Alabama,3577000,372.9,15.0,22.7,99.6,235.6,2627.2,1057.9,1308.7,260.6
1975,Alabama,3614000,392.9,16.0,20.4,123.0,233.5,3079.6,1163.8,1645.5,270.3
1976,Alabama,3665000,388.8,15.1,21.7,96.0,256.0,3419.5,1170.0,1987.2,262.3
1977,Alabama,3690000,414.4,14.2,25.2,96.8,278.3,3298.2,1135.5,1881.9,280.7
1978,Alabama,3742000,419.1,13.3,25.5,99.1,281.2,3519.7,1229.3,1987.9,302.5
1979,Alabama,3769000,413.3,13.2,27.5,109.5,263.1,3830.5,1287.3,2223.2,320.1
1980,Alabama,3861466,448.5,13.2,30.0,132.1,273.2,4485.1,1526.7,2642.2,316.2
1981,Alabama,3916000,470.5,11.9,26.1,126.5,306.1,4428.3,1450.7,2693.3,284.2
1982,Alabama,3943000,447.7,10.6,26.0,112.0,299.1,4185.8,1256.2,2656.4,273.3
1983,Alabama,3959000,416.0,9.2,23.5,98.4,284.9,3685.0,1073.1,2381.4,230.5
1984,Alabama,3990000,431.2,9.4,25.1,96.1,300.6,3470.9,1001.8,2235.5,233.6
1985,Alabama,4021000,457.5,9.8,26.8,105.4,315.5,3484.6,1034.9,2191.2,258.5
1986,Alabama,4053000,558.0,10.1,28.4,111.6,407.9,3730.3,1159.0,2304.4,267.0
1987,Alabama,4083000,559.2,9.3,27.8,112.2,409.9,3892.2,1198.3,2431.1,262.8
1988,Alabama,4127000,558.6,9.9,29.8,117.8,401.2,4003.1,1233.8,2502.6,266.7
1989,Alabama,4118000,590.8,10.2,31.0,133.9,415.7,4037.0,1146.8,2592.8,297.5
1990,Alabama,4040587,708.6,11.6,32.6,143.7,520.7,4206.7,1103.4,2755.4,347.8
1991,Alabama,4089000,844.2,11.5,35.6,152.8,644.4,4521.4,1268.6,2889.5,363.4
1992,Alabama,4136000,871.7,11.0,41.2,164.9,654.6,4396.4,1186.0,2848.2,362.3
1993,Alabama,4187000,780.4,11.6,35.1,159.5,574.3,4098.4,1088.6,2672.0,337.8
1994,Alabama,4219000,683.7,11.9,35.2,171.2,465.3,4219.4,1044.4,2843.1,331.8
1995,Alabama,4253000,632.4,11.2,31.7,185.8,403.7,4215.7,1024.8,2844.3,346.6
1996,Alabama,4273000,565.4,10.0,33.0,167.0,356.0,4254.7,1002.1,2886.7,366.0
1997,Alabama,4319000,564.5,9.9,32.3,160.5,361.8,4325.3,1013.8,2954.8,356.7
1998,Alabama,4352000,512.1,8.1,33.2,130.9,339.9,4085.0,964.3,2779.0,341.7
1999,Alabama,4369862,490.2,7.9,34.6,121.2,326.5,3922.3,884.4,2737.3,300.6
2000,Alabama,4447100,486.2,7.4,33.3,128.2,317.2,4059.7,906.9,2864.8,288.0
2001,Alabama,4468912,438.2,8.5,30.6,125.0,274.1,3876.8,909.4,2685.0,282.4
2002,Alabama,4478896,445.0,6.8,37.2,133.1,268.0,4027.8,950.6,2767.0,310.1
2003,Alabama,4503726,429.2,6.6,36.8,134.1,251.7,4046.4,960.2,2754.1,332.1
2004,Alabama,4525375,427.0,5.6,38.5,133.5,249.4,4029.3,987.0,2732.4,309.9
2005,Alabama,4548327,433.0,8.2,34.4,141.7,248.3,3900.0,955.8,2656.0,289.0
2006,Alabama,4599030,425.2,8.3,35.8,153.6,227.5,3941.0,973.7,2640.8,326.5
2007,Alabama,4627851,448.9,8.9,33.4,159.9,246.7,3977.7,980.6,2689.5,307.7
2008,Alabama,4661900,452.8,7.5,34.7,157.6,253.0,4084.5,1081.3,2714.3,288.9
2009,Alabama,4708708,450.1,6.8,31.9,133.1,278.3,3780.4,1037.3,2507.5,235.5
2010,Alabama,4785401,383.7,5.7,28.3,101.6,248.0,3528.0,887.8,2414.9,225.3
2011,Alabama,4803689,419.8,6.2,28.5,102.1,282.9,3605.4,1064.2,2319.3,222.0
2012,Alabama,4817528,450.3,7.1,26.9,104.2,312.1,3505.5,985.6,2314.9,205.0
2013,Alabama,4833996,431.0,7.2,30.0,96.1,285.2,3347.9,877.3,2252.0,218.5
2014,Alabama,4849377,427.4,5.7,29.6,96.9,283.4,3177.6,819.0,2149.5,209.1
1960,Alaska,226167,104.3,10.2,20.8,28.3,45.1,1544.9,332.1,970.5,242.3
1961,Alaska,234000,88.9,11.5,13.2,12.4,51.7,1540.6,380.8,950.0,209.8
1962,Alaska,246000,91.5,4.5,18.7,13.8,54.5,1564.6,351.6,985.4,227.6
1963,Alaska,248000,109.7,6.5,14.9,22.2,66.1,1952.8,381.5,1213.7,357.7
1964,Alaska,250000,150.0,10.4,22.4,21.2,96.0,2016.0,443.6,1218.4,354.0
1965,Alaska,253000,149.0,6.3,17.8,39.9,85.0,2454.5,554.5,1492.9,407.1
1966,Alaska,272000,150.4,12.9,19.5,36.0,82.0,2635.3,593.0,1600.7,441.5
1967,Alaska,272000,160.7,9.6,17.6,35.3,98.2,2723.9,688.6,1630.9,404.4
1968,Alaska,277000,175.5,10.5,21.7,52.7,90.6,3145.5,747.3,1915.9,482.3
1969,Alaska,282000,221.3,10.6,29.4,67.4,113.8,3658.9,870.6,2196.8,591.5
1970,Alaska,302173,278.0,12.2,26.1,71.8,167.8,3523.8,789.9,2182.5,551.3
